,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BURNETT - TOWN OF WOOD RIVER - WARD 1,24,,
,BURNETT - TOWN OF WOOD RIVER - WARD 2,7,,
,BURNETT - TOWN OF WOOD RIVER - WARD 3,4,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 1,20,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 2,9,,
,BURNETT - VILLAGE OF GRANTSBURG - WARD 3,6,,
,BURNETT - VILLAGE OF SIREN - WARD 1,22,,
,BURNETT - VILLAGE OF SIREN - WARD 2,4,,
,BURNETT - VILLAGE OF WEBSTER - WARD 1,14,,
,BURNETT - VILLAGE OF WEBSTER - WARD 2,8,,
,CALUMET - CITY OF APPLETON - WARD 12,6,,
,CALUMET - CITY OF APPLETON - WARD 13,46,,
,CALUMET - CITY OF APPLETON - WARD 14,42,,
,CALUMET - CITY OF APPLETON - WARD 26,53,,
,CALUMET - CITY OF APPLETON - WARD 44,49,,
,CALUMET - CITY OF APPLETON - WARD 45,55,,
,CALUMET - CITY OF BRILLION - WARD 1,12,,
,CALUMET - CITY OF BRILLION - WARD 2,17,,
,CALUMET - CITY OF BRILLION - WARD 3,19,,
,CALUMET - CITY OF BRILLION - WARD 4,17,,
,CALUMET - CITY OF CHILTON - WARD 1,8,,
,CALUMET - CITY OF CHILTON - WARD 2,25,,
,CALUMET - CITY OF CHILTON - WARD 3,10,,
,CALUMET - CITY OF CHILTON - WARD 4,12,1,
,CALUMET - CITY OF CHILTON - WARD 5,17,,
,CALUMET - CITY OF KIEL - WARD 7,3,,
,CALUMET - CITY OF MENASHA - WARD 16,31,,
,CALUMET - CITY OF MENASHA - WARD 17,39,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 1,12,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 2,9,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 3,26,,
,CALUMET - CITY OF NEW HOLSTEIN - WARD 4,19,,
